"","year","month","anom","dec.yr"
"03/01/04",2004,3,-0.246794759419552,2004.20833333333
"04/01/04",2004,4,-0.107977335369038,2004.29166666667
"05/01/04",2004,5,0.439309432254574,2004.375
"06/01/04",2004,6,0.349749508265881,2004.45833333333
"07/01/04",2004,7,1.06740930345323,2004.54166666667
"08/01/04",2004,8,1.25346075487008,2004.625
"09/01/04",2004,9,0.678481363022554,2004.70833333333
"10/01/04",2004,10,0.308767630155817,2004.79166666667
"11/01/04",2004,11,-0.468876891665988,2004.875
"12/01/04",2004,12,-0.25362425444895,2004.95833333333
"01/01/05",2005,1,-0.111912570994721,2005.04166666667
"02/01/05",2005,2,0.0674433262367559,2005.125
"03/01/05",2005,3,0.396090183800798,2005.20833333333
"04/01/05",2005,4,0.398800666416241,2005.29166666667
"05/01/05",2005,5,1.27257033932177,2005.375
"06/01/05",2005,6,1.3513996827247,2005.45833333333
"07/01/05",2005,7,1.77970144483778,2005.54166666667
"08/01/05",2005,8,1.59207034434083,2005.625
"09/01/05",2005,9,0.976061234306191,2005.70833333333
"10/01/05",2005,10,0.101124015280871,2005.79166666667
"11/01/05",2005,11,-0.502287334865994,2005.875
"12/01/05",2005,12,-0.552476592180206,2005.95833333333
"01/01/06",2006,1,-0.221869285836775,2006.04166666667
"02/01/06",2006,2,-0.454332025393561,2006.125
"03/01/06",2006,3,-0.507004664196231,2006.20833333333
"04/01/06",2006,4,-0.496014513620516,2006.29166666667
"05/01/06",2006,5,-0.259644461194997,2006.375
"06/01/06",2006,6,0.147460032930865,2006.45833333333
"07/01/06",2006,7,-0.217892858717177,2006.54166666667
"08/01/06",2006,8,-0.881645861679946,2006.625
"09/01/06",2006,9,-0.535108199287559,2006.70833333333
"10/01/06",2006,10,-0.288285261893337,2006.79166666667
"11/01/06",2006,11,-0.577962186601427,2006.875
"12/01/06",2006,12,-0.880128039900203,2006.95833333333
"01/01/07",2007,1,-0.708585794702132,2007.04166666667
"02/01/07",2007,2,-0.66528123439489,2007.125
"03/01/07",2007,3,-1.18261853110823,2007.20833333333
"04/01/07",2007,4,-0.960449375757357,2007.29166666667
"05/01/07",2007,5,-0.890525770704275,2007.375
"06/01/07",2007,6,-0.726304217082698,2007.45833333333
"07/01/07",2007,7,-0.234976874457465,2007.54166666667
"08/01/07",2007,8,0.120978332147366,2007.625
"09/01/07",2007,9,0.00481462090965223,2007.70833333333
"10/01/07",2007,10,-0.840886493362385,2007.79166666667
"11/01/07",2007,11,-0.804965125189887,2007.875
"12/01/07",2007,12,-0.631602473375274,2007.95833333333
"01/15/08",2008,1,-0.75670507477551,2008.04166666667
"02/15/08",2008,2,-0.967444835316521,2008.125
"03/15/08",2008,3,-0.782524618029917,2008.20833333333
"04/15/08",2008,4,-0.743517820751118,2008.29166666667
"05/15/08",2008,5,-1.12601969558695,2008.375
"06/15/08",2008,6,-1.14689959807771,2008.45833333333
"07/15/08",2008,7,-0.692986594306098,2008.54166666667
"08/15/08",2008,8,-0.395411408690579,2008.625
"09/15/08",2008,9,-0.716760904162234,2008.70833333333
"10/15/08",2008,10,-0.34492853598866,2008.79166666667
"11/15/08",2008,11,-0.878629154629177,2008.875
"12/15/08",2008,12,-0.939282285488718,2008.95833333333
"01/15/09",2009,1,-0.996513766648,2009.04166666667
"02/15/09",2009,2,-1.08389246948366,2009.125
"03/15/09",2009,3,-1.16799454475806,2009.20833333333
"04/15/09",2009,4,-1.26715861232623,2009.29166666667
"05/15/09",2009,5,-0.622502385762326,2009.375
"06/15/09",2009,6,-0.465768394108387,2009.45833333333
"07/15/09",2009,7,-0.0712607701619466,2009.54166666667
"08/15/09",2009,8,-0.694214950085979,2009.625
"09/15/09",2009,9,-0.557347036635649,2009.70833333333
"10/15/09",2009,10,-0.113363908235297,2009.79166666667
"11/15/09",2009,11,-0.614487542046441,2009.875
"12/15/09",2009,12,-0.318760581132842,2009.95833333333
"01/15/10",2010,1,0.025242590968848,2010.04166666667
"02/15/10",2010,2,0.174260200846809,2010.125
"03/15/10",2010,3,0.0158761284215665,2010.20833333333
"04/15/10",2010,4,-0.241680275780076,2010.29166666667
"05/15/10",2010,5,-0.0377100366887038,2010.375
"06/15/10",2010,6,-0.493268970551529,2010.45833333333
"07/15/10",2010,7,-1.29320918189155,2010.54166666667
"08/15/10",2010,8,-1.15421255106525,2010.625
"09/15/10",2010,9,-0.0560439996279997,2010.70833333333
"10/15/10",2010,10,-0.16161251714236,2010.79166666667
"11/15/10",2010,11,-0.171544657813178,2010.875
"12/15/10",2010,12,-0.290029817803442,2010.95833333333
"01/15/11",2011,1,-0.155779337818383,2011.04166666667
"02/15/11",2011,2,-0.211433322772101,2011.125
"03/15/11",2011,3,-0.0963081047140808,2011.20833333333
"04/15/11",2011,4,-0.0257671124889921,2011.29166666667
"05/15/11",2011,5,-0.151146682620372,2011.375
"06/15/11",2011,6,-0.173974252974761,2011.45833333333
"07/15/11",2011,7,-0.602548917134603,2011.54166666667
"08/15/11",2011,8,-0.934035536396471,2011.625
"09/15/11",2011,9,-1.0846240294335,2011.70833333333
"10/15/11",2011,10,-0.209876384838487,2011.79166666667
"11/15/11",2011,11,-0.67338768641154,2011.875
"12/15/11",2011,12,-0.676963568379886,2011.95833333333
"01/15/12",2012,1,-0.988462185795068,2012.04166666667
"02/15/12",2012,2,-1.10037106097875,2012.125
"03/15/12",2012,3,-1.14044518522454,2012.20833333333
"04/15/12",2012,4,-0.627621781212204,2012.29166666667
"05/15/12",2012,5,-0.882505528649017,2012.375
"06/15/12",2012,6,-1.07963191526046,2012.45833333333
"07/15/12",2012,7,-1.80124929216173,2012.54166666667
"08/15/12",2012,8,-1.28775842661457,2012.625
"09/15/12",2012,9,-1.01417843888446,2012.70833333333
"10/15/12",2012,10,-0.625460737119845,2012.79166666667
"11/15/12",2012,11,-0.522238519456651,2012.875
